strand;type;clone;glyc_stock_box_as_plasmid;comment_as_plasmid;origin_id;date_as_plasmid;Created at;Updated at;qc validation;name;temp_name;number;strict_validation;plasmid_validation;target
Unknown;Unknown;;2;AAV packaging;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;AAV10;None;66;0;1;Unknown
Unknown;Unknown;;2;AAV packaging;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;AAV5 Y719F;None;67;0;1;Unknown
Unknown;Unknown;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pCIG-hRho-P347L;None;68;0;1;Unknown
Unknown;Unknown;;4;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pssAAV2-mPGK-hCxcr4-RfpA-BhCh2kv-bGHpolyA;None;69;0;1;Unknown
Unknown;Unknown;;4;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-mPGK-hCxcr4-RfpA-BhCh2kv-bGHpolyA;None;70;0;1;Unknown
Unknown;Unknown;;3;Lenti;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-arr3-eNphR-YFP-dU3;None;71;0;1;Unknown
Unknown;Unknown;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pGEM/T-easy-WPRE;None;72;0;1;Unknown
Unknown;Unknown;;0;Lenti pDest;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-VMD2-Rfb-WdU3;None;73;0;1;Unknown
Unknown;Unknown;;0;Lenti rapporteur;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pTrip-iresGFP;None;74;0;1;Unknown
Unknown;Unknown;;3;Lenti;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-VMD2-ApoE3-w-dU3;None;75;0;1;Unknown
Unknown;Unknown;;1;Lenti;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-VMD2-FasL-w-dU3;None;76;0;1;Unknown
Unknown;Unknown;;1;Lenti;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-VMD2-ccl2-w-dU3;None;77;0;1;Unknown
Unknown;Unknown;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pcDNA6,2-GFP;None;78;0;1;Unknown
Unknown;Unknown;;0;AAV;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pscAAV-CMV-GFP;None;79;0;1;Ubiquitous
Unknown;Unknown;;0;Lenti pDest;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-EF1-Rfb invert-dU3;None;80;0;1;Unknown
Unknown;Unknown;;0;Lenti pDest;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-EF1-Rfb invert-wdU3;None;81;0;1;Unknown
Unknown;Unknown;;0;AAV rapporteur;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pssAAV-PGK-GFP-WPRE;None;82;0;1;Unknown
Unknown;Unknown;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;sc-CAG-eCFP;None;83;0;1;Ubiquitous
Unknown;Unknown;;0;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;sc-CAG-RFP;None;84;0;1;Ubiquitous
Unknown;Unknown;;0;Lenti;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pHR'-CMV-GFP;None;85;0;1;Ubiquitous
Unknown;Unknown;;0;Lenti;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-VMD2-wdU3;None;86;0;1;Unknown
Unknown;Unknown;;3;pcDNA3,1;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pcDNA3,1-hCxcr4-RfpA-BhChR2kv;None;87;0;1;Unknown
Unknown;Unknown;;3;AAV rapporteur;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pTR-EGFP;None;88;0;1;Unknown
Unknown;Unknown;;0;AAV - mouse cone arrestin;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pssAAV-mCAR-Jaws-GFP;None;89;0;1;Cones
Unknown;Unknown;;0;AAV - mouse cone arrestin;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pssAAV-mCAR-MAC-GFP;None;90;0;1;Cones
Unknown;Unknown;;0;AAV - mouse cone arrestin;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pssAAV-mCAR-ArchT-GFP;None;91;0;1;Cones
