"strand";"type";"clone";"glyc_stock_box_as_plasmid";"comment_as_plasmid";"origin_as_plasmid";"date_as_plasmid";"Created at";"Updated at";"Qc validation";"name";"temp_name";"number"
"ss";"unknown";"";"4";"-";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pssAAV2-mPGK-hCxcr4-RfpA-BhCh2kv-bGHpolyA";"None";"69"
"unknown";"unknown";"";"4";"-";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-mPGK-hCxcr4-RfpA-BhCh2kv-bGHpolyA";"None";"70"
"unknown";"unknown";"";"3";"Lenti";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-arr3-eNphR-YFP-dU3";"None";"71"
"unknown";"unknown";"";"0";"-";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pGEM/T-easy-WPRE";"None";"72"
"unknown";"unknown";"";"0";"Lenti pDest";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-VMD2-Rfb-WdU3";"None";"73"
"unknown";"unknown";"";"0";"Lenti rapporteur";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pTrip-iresGFP";"None";"74"
"unknown";"unknown";"";"3";"Lenti";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-VMD2-ApoE3-w-dU3";"None";"75"
"unknown";"unknown";"";"1";"Lenti";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-VMD2-FasL-w-dU3";"None";"76"
"unknown";"unknown";"";"1";"Lenti";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-VMD2-ccl2-w-dU3";"None";"77"
"unknown";"unknown";"";"0";"-";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pcDNA6,2-GFP";"None";"78"
"sc";"unknown";"";"0";"AAV";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pscAAV-CMV-GFP";"None";"79"
"unknown";"unknown";"";"0";"Lenti pDest";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-EF1-Rfb invert-dU3";"None";"80"
"unknown";"unknown";"";"0";"Lenti pDest";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-EF1-Rfb invert-wdU3";"None";"81"
"ss";"unknown";"";"0";"AAV rapporteur";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pssAAV-PGK-GFP-WPRE";"None";"82"
"sc";"unknown";"";"0";"-";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"sc-CAG-eCFP";"None";"83"
"sc";"unknown";"";"0";"-";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"sc-CAG-RFP";"None";"84"
"unknown";"unknown";"";"0";"Lenti";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pHR'-CMV-GFP";"None";"85"
"unknown";"unknown";"";"0";"Lenti";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-VMD2-wdU3";"None";"86"
"unknown";"unknown";"";"3";"pcDNA3,1";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pcDNA3,1-hCxcr4-RfpA-BhChR2kv";"None";"87"
"unknown";"unknown";"";"3";"AAV rapporteur";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pTR-EGFP";"None";"88"
"ss";"unknown";"";"0";"AAV";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pssAAV-mCAR-Jaws-GFP";"None";"89"
"ss";"unknown";"";"0";"AAV";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pssAAV-mCAR-MAC-GFP";"None";"90"
"ss";"unknown";"";"0";"AAV";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pssAAV-mCAR-ArchT-GFP";"None";"91"
"ss";"unknown";"";"0";"AAV";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pssAAV-mCAR-eNphR-eYFP";"None";"92"
"ss";"unknown";"";"0";"AAV";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pssAAV-mCAR-GFP";"None";"93"
"unknown";"unknown";"";"0";"AAV packaging";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"TM-LacZ ou XX2-LacZ";"None";"94"
"unknown";"unknown";"";"0";"Lenti rapporteur";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-SNCG-GFP-dU3";"None";"95"
"unknown";"unknown";"";"0";"pENtr";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pENTR/D-topo-GFP";"None";"96"
"unknown";"unknown";"";"3";"AAV packaging";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pAAV9";"None";"97"
"unknown";"unknown";"";"0";"AAV packaging";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pAAV7";"None";"98"
"ss";"unknown";"";"3";"AAV";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pssAAV-EF1a-ChR2d(L132C)-2A-nlsGFP";"None";"99"
"ss";"unknown";"";"0";"AAV";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pssAAV-CAG-ChR2c (C128T)-nlsGFP";"None";"100"
"ss";"unknown";"";"0";"AAV";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pssAAV-CAG-ChR2e-nlsGFP";"None";"101"
"sc";"unknown";"";"0";"AAV";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pscPGK-MECP2";"None";"102"
