production_id;plate_id;created_at;username;name;titer;titer_atcc;titer_to_atcc;date_of_production
421;1504;February 4, 2015;emace;421 B;37600000000000,00;176000000000,00;7007272727272,73;March 4, 2016
422;1510;February 25, 2015;emace;422 A;745000000000,00;42300000000,00;577683215130,02;March 4, 2016
422;1510;February 25, 2015;emace;422 B;7080000000000,00;42300000000,00;5489929078014,18;March 4, 2016
422;1504;February 4, 2015;emace;422 III;6170000000000,00;176000000000,00;1149863636363,64;March 4, 2016
422;1504;February 4, 2015;emace;422 VI;16400000000000,00;176000000000,00;3056363636363,64;March 4, 2016
423;1504;February 4, 2015;emace;423;37000000000000,00;176000000000,00;6895454545454,55;March 4, 2016
425;1510;February 25, 2015;emace;425 A;1470000000000,00;42300000000,00;1139858156028,37;March 14, 2016
425;1510;February 25, 2015;emace;425 B;819000000000,00;42300000000,00;635063829787,23;March 14, 2016
432;1509;February 23, 2015;emace;432 A;28900000000000,00;41200000000,00;23007766990291,30;April 8, 2016
432;1509;February 23, 2015;emace;432 B;23100000000000,00;41200000000,00;18390291262135,90;April 8, 2016
433;1509;February 23, 2015;emace;433 A;5930000000000,00;41200000000,00;4720970873786,41;April 8, 2016
433;1509;February 23, 2015;emace;433 B;17800000000000,00;41200000000,00;14170873786407,80;April 8, 2016
434;1509;February 23, 2015;emace;434 A;30000000000000,00;41200000000,00;23883495145631,10;April 8, 2016
434;1509;February 23, 2015;emace;434 B;23300000000000,00;41200000000,00;18549514563106,80;April 8, 2016
435;1509;February 23, 2015;emace;435 A;5290000000000,00;41200000000,00;4211456310679,61;April 15, 2016
435;1509;February 23, 2015;emace;435 B;10900000000000,00;41200000000,00;8677669902912,62;April 15, 2016
455;1517;April 15, 2015;cwinkler;455b;8850000000000,00;25900000000,00;11207722007722,00;May 27, 2016
465;1515;January 1, 2015;emace;465 (PEI ok);771000000000000,00;11200000000,00;2257928571428570,00;July 1, 2016
466;1515;January 1, 2015;emace;466 (PEI mauvais);1410000000,00;11200000000,00;4129285714,29;July 1, 2016
692;1633;July 12, 2016;crobert;691*;3770000000000000,00;;;
692;1633;July 12, 2016;crobert;692*;783000000000000,00;;;
783;1639;August 19, 2016;crobert;1r (783);4600000000000,00;35900000000,00;4202785515320,33;
784;1639;August 19, 2016;crobert;2r low (784);554000000000,00;35900000000,00;506161559888,58;
824;1657;December 8, 2016;jmurat;824;8040000000000,00;47000000000,00;5610893617021,28;
825;1657;December 8, 2016;jmurat;825;614000000000,00;47000000000,00;428493617021,28;
825;1659;December 16, 2016;crobert;825;1640000000000,00;29300000000,00;1835904436860,07;
828;1657;December 8, 2016;jmurat;828;4060000000000,00;47000000000,00;2833361702127,66;
830;1657;December 8, 2016;jmurat;830;4760000000000,00;47000000000,00;3321872340425,53;
860;1705;January 25, 2017;crobert;860;4420000000000,00;2060000000,00;70376699029126,20;
860;1706;January 26, 2017;crobert;860;12700000000000,00;10300000000,00;40442718446601,90;
861;1705;January 25, 2017;crobert;861;2390000000000,00;2060000000,00;38054368932038,80;
861;1706;January 26, 2017;crobert;861;7620000000000,00;10300000000,00;24265631067961,20;
862;1705;January 25, 2017;crobert;862;8950000000000,00;2060000000,00;142504854368932,00;
862;1706;January 26, 2017;crobert;862;28800000000000,00;10300000000,00;91712621359223,30;
863;1705;January 25, 2017;crobert;863;31200000000000,00;2060000000,00;496776699029126,00;
